3074,519
6972,3501
8620,2097
11670,11456
13216,11704
11112,1966
3175,427
13813,10418
14232,13687
9889,6002
13279,12817
12029,11443
11902,7372
11561,2303
13330,11937
438,148
2083,1306
6007,3080
5865,3413
11605,4025
11093,2665
13263,12301
7122,553
13603,13010
11112,2639
11379,10979
11665,11119
6962,432
6846,3322
11547,1791
14012,12066
12244,11108
9873,6946
13274,11530
11165,1995
13456,11711
12072,11530
8161,645
2326,1333
11305,2675
13579,13146
6119,1605
13468,10030
13242,11530
6927,3665
12489,12477
2122,773
7101,1579
11947,7211
7359,553
12674,11251
2207,486
7951,496
2179,1223
14058,11802
13574,12918
11835,7014
11251,2536
2197,1379
11270,2393
2072,1389
6994,578
13648,11177
2737,441
1940,459
11714,10971
11947,11663
7159,569
13236,12114
12038,11712
11780,11100
7164,492
11038,2421
1940,1327
11618,4426
8044,727
12046,11581
8058,2217
2165,486
11784,11119
2167,776
8235,428
11608,5530
11887,7098
10923,7778
1894,498
11670,11629
3087,732
6584,3091
7239,454
11654,9411
13718,11920
2729,1305
11881,11316
13915,11518
9015,1912
8703,1858
11815,11761
11742,11183
7044,496
13808,13687
5815,3066
11798,11742
11620,4181
6992,1559
6908,3536
1989,457
1845,843
1975,694
9063,1897
6885,3379
14024,12100
11606,4522
8096,506
6939,1587
6071,3633
6984,3685
2726,1203
10081,6135
1781,1233
12569,11209
10691,7894
11325,1946
11510,8701
13424,11009
12850,9287
7298,612
12197,11370
10997,1769
11288,2197
7019,434
11709,11663
10004,6946
12042,12029
13366,11652
2111,895
7291,458
2182,1041
2743,1312
14147,11331
7118,609
1932,1327
11050,1912
11748,11684
6893,3086
14281,14167
11145,1821
2651,1202
11907,11763
14234,10883
14255,11413
8163,517
6883,3433
3111,698
13805,13311
14219,11358
9569,6973
11711,11385
6894,457
1925,723
13320,11277
6993,681
11146,2266
11189,2480
13393,12250
7229,428
11277,11026
6850,3441
14132,13952
11449,2177
13490,12029
6942,3714
11529,2451
8887,2000
6889,3396
6933,3443
8056,2464
11605,4032
11123,2058
13814,11516
8134,650
13573,12655
13325,11370
14152,13357
13783,12908
12398,11978
9462,7463
13029,11891
11771,11634
12360,8646
11624,4151
12772,9185
11614,3801
7167,492
11545,2044
11123,1887
7113,701
12334,11970
11993,11671
11113,2017
2720,795
13332,12985
7490,510
6730,3317
11327,11278
11058,1875
8146,2452
7168,1235
7233,550
14147,12698
11255,11211
12020,11340
1844,562
13862,13208
13984,12165
8074,2215
11058,2156
6525,3585
13949,12191
7026,457
6078,3429
11605,3957
2095,1350
11618,3299
8113,1995
1828,531
13934,11251
11672,11195
11548,1998
12928,12875
9006,1922
13254,12631
13374,12054
13069,12587
9398,7911
2068,1270
1944,725
13647,11106
1772,545
8697,2140
1937,794
11549,1989
11614,4472
11042,2561
13868,10477
13083,11361
2078,1289
14147,12028
13554,12132
1782,449
7104,496
11474,11455
6949,3441
11852,7047
6930,3447
2137,750
2744,1350
11205,11154
13949,12866
6965,3473
13439,11608
7046,740
11080,2009
11825,7238
1897,472
12942,11865
1848,616
7002,492
2612,1463
8218,5997
14256,11065
12535,11461
11414,11284
13584,13157
2101,1347
12764,11251
8143,7842
13408,11658
7137,495
1982,1262
7226,1234
8293,6359
8164,480
13283,11991
11902,11667
11613,4777
11373,1942
2068,1214
2201,999
14041,13309
13573,13431
2027,979
11265,1838
11605,5673
13632,11217
11545,2123
6878,3441
12261,12246
13417,12998
6865,3387
7012,597
12273,12111
11236,1870
12100,11119
2062,1291
2101,1228
13523,12307
2044,1465
2134,1391
8489,1916
13063,12443
2123,1397
13945,12819
6531,427
14256,11425
13562,11370
8213,442
6972,3500
13874,11791
12872,11011
11058,1926
11966,11081
7017,501
6655,550
1892,1225
2732,673
12666,11505
12123,11676
8058,1891
13004,12480
14166,13951
2732,1380
10633,5997
8364,2965
11373,1781
8096,428
11218,2424
7000,528
2101,449
8548,1912
8157,428
8431,1893
11943,11671
11242,2108
6652,46
1887,1246
11130,1790
13223,12268
1837,564
11603,3951
12771,11459
13728,11199
11606,3977
8074,5997
13740,11932
