hsa-mir-98-5p,0.2,0.8,hsa-miR-223,#N/A,
hsa-mir-660-5p,0.2,0.8,hsa-miR-223,#N/A,
hsa-mir-297,0.2,0.8,hsa-miR-223,#N/A,
hsa-mir-513b-5p,0.2,0.8,hsa-miR-223,#N/A,
hsa-mir-513c-5p,0.2,0.8,hsa-miR-223,#N/A,
hsa-mir-571,0.2,0.8,hsa-miR-223,#N/A,
hsa-mir-652-5p,0.2,0.8,hsa-miR-223,#N/A,
hsa-mir-628-5p,0.2,0.8,hsa-miR-223,#N/A,
hsa-mir-597-5p,0.2,0.8,hsa-miR-223,#N/A,
hsa-mir-1973,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-576-5p,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-517c-3p,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-572,0.2,0.8,hsa-miR-214,hsa-miR-572,
hsa-mir-944,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-595,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-2861,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-1281,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-598-5p,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-551b-5p,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-1260b,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-325,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-4728-5p,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-520f-5p,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-1303,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-526b-5p,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-589-5p,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-329-5p,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-1181,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-548c-5p,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-518a-5p,0.2,0.8,hsa-miR-214,#N/A,
hsa-mir-449c-5p,0.2,0.8,hsa-miR-215,#N/A,
hsa-mir-3158-5p,0.2,0.8,hsa-miR-215,#N/A,
hsa-mir-6775-5p,0.2,0.8,hsa-miR-215,#N/A,
hsa-mir-3175,0.2,0.8,hsa-miR-216,#N/A,
hsa-mir-421,0.3,0.7,hsa-miR-214,#N/A,
hsa-mir-539-5p,0.3,0.7,hsa-miR-215,#N/A,
hsa-mir-374b-5p,0.3,0.7,hsa-miR-216,#N/A,
hsa-mir-148b-3p,0.3,0.7,hsa-miR-495,#N/A,
hsa-mir-216b-5p,0.3,0.7,hsa-miR-96,#N/A,
hsa-mir-132-3p,0.3,0.7,hsa-miR-129,#N/A,
hsa-mir-543,0.3,0.7,hsa-miR-34a,#N/A,
hsa-mir-29a-3p,0.3,0.7,hsa-miR-221,#N/A,
hsa-mir-491-5p,0.3,0.7,hsa-miR-128,#N/A,
hsa-mir-602,0.3,0.7,hsa-miR-128a,hsa-miR-602,
hsa-mir-637,0.3,0.7,hsa-miR-129-1,hsa-miR-637,
hsa-mir-654-5p,0.3,0.7,hsa-miR-129-2,#N/A,
hsa-mir-769-5p,0.3,0.7,hsa-miR-133,#N/A,
hsa-mir-646,0.3,0.7,hsa-miR-142,#N/A,
hsa-mir-376b-5p,0.3,0.7,hsa-miR-143,#N/A,
hsa-mir-505-5p,0.3,0.7,hsa-miR-145,#N/A,
hsa-mir-1285-5p,0.3,0.7,hsa-miR-146a,#N/A,
hsa-mir-523-5p,0.3,0.7,hsa-miR-146a,#N/A,
hsa-mir-501-5p,0.3,0.7,hsa-miR-146a,#N/A,
hsa-mir-298,0.3,0.7,hsa-miR-146a,#N/A,
hsa-mir-147a,0.3,0.7,hsa-miR-521,#N/A,
hsa-mir-1825,0.3,0.7,hsa-miR-194,#N/A,
hsa-mir-3651,0.3,0.7,hsa-miR-495,#N/A,
hsa-mir-711,0.3,0.7,hsa-miR-495,#N/A,
hsa-mir-1288-5p,0.3,0.7,hsa-miR-495,#N/A,
hsa-mir-645,0.3,0.7,hsa-miR-495,#N/A,
hsa-mir-519c-5p,0.3,0.7,hsa-miR-497,#N/A,
hsa-mir-639,0.3,0.7,hsa-miR-497,#N/A,
hsa-mir-3960,0.3,0.7,hsa-miR-498,#N/A,
hsa-mir-938,0.3,0.7,hsa-miR-498,#N/A,
